target,repo_url,segment,public_channel,personalized_hook,ask,status,next_action
czlonkowski/n8n-mcp,https://github.com/czlonkowski/n8n-mcp,MCP builder,DM or discussion,"MCP server for Claude Code, Windsurf, and Cursor; workflow automation is a strong test of central files and callers","Run no-write proof; tell whether central files/callers match real workflow surface",queued,Find public contact or relevant discussion
steipete/claude-code-mcp,https://github.com/steipete/claude-code-mcp,Claude Code power user,DM or discussion,"Claude Code as MCP server is an exact stress test for agent-on-agent context","Paste one receipt or first noisy/wrong symbol",queued,Find best public contact
zilliztech/claude-context,https://github.com/zilliztech/claude-context,adjacent competitor,GitHub discussion or maintainer contact,"Adjacent codebase-context MCP; can critique whether Sverklo is distinct or duplicate","Ask for duplicate-vs-distinct correction",queued,Prepare respectful comparator ask
oraios/serena,https://github.com/oraios/serena,adjacent competitor,GitHub discussion or maintainer contact,"Semantic coding-agent toolkit with overlap; high-signal critique source","Ask for grep-better or Serena-already-covers-this correction",queued,Prepare respectful comparator ask
addyosmani/agent-skills,https://github.com/addyosmani/agent-skills,agent skill curator,DM or discussion,"Production-grade agent skills need repo-aware checks before edits","Ask whether proof receipt fits as a skill prerequisite",queued,Find current discussion/contact path
ghuntley/how-to-build-a-coding-agent,https://github.com/ghuntley/how-to-build-a-coding-agent,agent builder,DM or discussion,"Agent builders can critique whether proof is useful or benchmark-shaped","Ask for activation-flow critique",queued,Find best public contact
GLips/Figma-Context-MCP,https://github.com/GLips/Figma-Context-MCP,MCP builder,DM or discussion,"Design-to-code workflows can mix examples, docs, and real impact surfaces","Ask whether proof separates real impact from examples/docs",queued,Find public contact
grab/cursor-talk-to-figma-mcp,https://github.com/grab/cursor-talk-to-figma-mcp,Cursor MCP builder,maintainer contact,"Cursor/Claude MCP integration with cross-file JS surface","Ask for no-write proof run and noise report",queued,Find maintainer-safe contact
databricks-solutions/ai-dev-kit,https://github.com/databricks-solutions/ai-dev-kit,enterprise agent toolkit,maintainer contact,"Enterprise agent tooling cares about local-first/no-upload and dry-run setup","Ask for setup-friction feedback",queued,Find maintainer-safe contact
agent-sh/agentsys,https://github.com/agent-sh/agentsys,agent framework,maintainer contact,"Multi-agent users face context and impact failures","Ask for one proof run and false-positive report",queued,Find best public contact
f/agentlytics,https://github.com/f/agentlytics,agent analytics,DM or discussion,"Agent workflow analytics can critique activation metrics","Ask which proof-run metric should be tracked",queued,Find best public contact
